Order,,None
Order,,Quicksilver Potion
Order,,Obstinate Blade
Order,,Relic Blade
Order,,Hoarfrost
Order,,Talisman of Blinding Light
Order,,Phoenix Stone
Chaos,,None
Chaos,,Daemon Weapon
Chaos,,Chaos Runeblade
Chaos,,Beguiling Gem
Chaos,,Chaos Talisman
Chaos,,Favour of the Gods
Chaos,,Crown of Conquest
Destruction,,None
Destruction,,Hammerblade
Destruction,,Battered Talisman
Destruction,,Rockeye
Destruction,,Bellowing Blade
Destruction,,Collar of Domination
Destruction,,Battle Brew
Death,,None
Death,,Cursed Book
Death,,Cloak of Mists and Shadows
Death,,Blade of Dark Summons
Death,,Black Amulet
Death,,Tomb Blade
Death,,Ring of Immortality
Skirmish,Artefacts of Power,Blessed Amulet
Skirmish,Artefacts of Power,Soulsever Blade
Skirmish,Artefacts of Power,Cursed Tome
Skirmish,Artefacts of Power,Oblivion Charm
Skirmish,Artefacts of Power,Masque of Horror
Skirmish,Artefacts of Power,Helm of Authority
Skirmish,Artefacts of Power,Spectral Blade
Skirmish,Artefacts of Power,Ebon Plate
Skirmish,Artefacts of Power,Skull Helm
Skirmish,Artefacts of Power,Soul Heart
Skirmish,Artefacts of Power,Bone Relic of the Liche King
Skirmish,Artefacts of Power,Amethyst Skull
Skirmish,Malign Sorcery Artefacts of Power,Primordial Fire Charm
Skirmish,Malign Sorcery Artefacts of Power,Ur-gold Rune
Skirmish,Malign Sorcery Artefacts of Power,Flamegheist Shawl
Skirmish,Malign Sorcery Artefacts of Power,Incineration Key
Skirmish,Malign Sorcery Artefacts of Power,Dragonbreath Wand
Skirmish,Malign Sorcery Artefacts of Power,Burning Blade
Bonesplitterz,Artefacts of Power,Glowin Tattooz (Bonesplitterz)
Bonesplitterz,Artefacts of Power,Dragon Toof (Bonesplitterz)
Bonesplitterz,Artefacts of Power,Weepwood Big Shiv (Bonesplitterz)
Bonesplitterz,Artefacts of Power,Dokk Juice (Bonesplitterz)
Bonesplitterz,Artefacts of Power,Savage Trophy (Bonesplitterz)
Bonesplitterz,Artefacts of Power,Lucky Bone (Bonesplitterz)
Bonesplitterz,Arcane Treasures,Ju-ju Wotnotz (Bonesplitterz/Wizard)
Bonesplitterz,Arcane Treasures,Big Spirit Stikk (Bonesplitterz/Wizard)
Bonesplitterz,Arcane Treasures,Mork's Boney Bitz (Bonesplitterz/Wizard)
Bonesplitterz,Arcane Treasures,Da Great Zappa Squiq (Bonesplitterz/Wizard)
Bonesplitterz,Arcane Treasures,Big Wurrgog Mask (Bonesplitterz/Wizard)
Bonesplitterz,Arcane Treasures,Mystic Waaagh! Paint (Bonesplitterz/Wizard)
Sylvaneth,Magical Artefacts,Daith's Reaper (Sylvaneth)
Sylvaneth,Magical Artefacts,The Oaken Armour (Sylvaneth)
Sylvaneth,Magical Artefacts,Briarsheath (Sylvaneth)
Sylvaneth,Magical Artefacts,Seed of Rebirth (Sylvaneth)
Sylvaneth,Magical Artefacts,Wraithstone (Sylvaneth)
Sylvaneth,Magical Artefacts,Glamourweave (Sylvaneth)
Sylvaneth,Magical Artefacts,Ironbark Talisman (Sylvaneth)
Sylvaneth,Arcane Treasures,Acorn of the Ages (Sylvaneth/Wizard)
Sylvaneth,Arcane Treasures,Warsong Stave (Sylvaneth/Wizard)
Sylvaneth,Arcane Treasures,Moonstone of the Hidden Ways (Sylvaneth/Wizard)
Sylvaneth,Arcane Treasures,Ranu's Lamentiri (Sylvaneth/Wizard)
Sylvaneth,Arcane Treasures,Hagbane Spite (Sylvaneth/Wizard)
Sylvaneth,Arcane Treasures,The Silverwood Circlet (Sylvaneth/Wizard)
Sylvaneth,Arcane Treasures,Tear of Grace (Sylvaneth)
Beastclaw Raiders,Magical Artefacts,Elixir of Frostwyrm (Beastclaw Raiders)
Beastclaw Raiders,Magical Artefacts,The Bleeding Skull of Dragaar (Beastclaw Raiders)
Beastclaw Raiders,Magical Artefacts,The Pelt of Charngar (Beastclaw Raiders)
Beastclaw Raiders,Magical Artefacts,Blade of All Frost (Beastclaw Raiders)
Beastclaw Raiders,Magical Artefacts,Tokens of the Everwinter (Beastclaw Raiders)
Beastclaw Raiders,Magical Artefacts,Ice Mammoth Skull Plate (Beastclaw Raiders)
Tzeentch Arcanites,Daemonic Powers, Lord of Flux (Tzeentch/Daemon)
Tzeentch Arcanites,Daemonic Powers, Aura of Mutability (Tzeentch/Daemon)
Tzeentch Arcanites,Daemonic Powers, Cursed Ichor (Tzeentch/Daemon)
Tzeentch Arcanites,Daemonic Powers, Wellspring of Arcane Might (Tzeentch/Daemon)
Tzeentch Arcanites,Daemonic Powers, Aspect of Tzeentch (Tzeentch/Daemon)
Tzeentch Arcanites,Daemonic Powers, Mark of the Conjurer (Tzeentch/Daemon)
Daemons of Tzeentch,Daemonic Powers, Lord of Flux (Tzeentch/Daemon)
Daemons of Tzeentch,Daemonic Powers, Aura of Mutability (Tzeentch/Daemon)
Daemons of Tzeentch,Daemonic Powers, Cursed Ichor (Tzeentch/Daemon)
Daemons of Tzeentch,Daemonic Powers, Wellspring of Arcane Might (Tzeentch/Daemon)
Daemons of Tzeentch,Daemonic Powers, Aspect of Tzeentch (Tzeentch/Daemon)
Daemons of Tzeentch,Daemonic Powers, Mark of the Conjurer (Tzeentch/Daemon)
Tzeentch Arcanites,Fated Artefacts, Wicked Shard (Tzeentch/Mortal)
Tzeentch Arcanites,Fated Artefacts, Changeblade (Tzeentch/Mortal)
Tzeentch Arcanites,Fated Artefacts, Nexus Staff (Tzeentch/Mortal)
Tzeentch Arcanites,Fated Artefacts, Timeslip Pendant (Tzeentch/Mortal)
Tzeentch Arcanites,Fated Artefacts, Daemonheart (Tzeentch/Mortal)
Tzeentch Arcanites,Fated Artefacts, Paradoxical Shield (Tzeentch/Mortal)
